,time
314,26.35429334640503
1861,9.88337230682373
1339,7.974075794219971
664,5.604962348937988
918,61.32843732833862
696,34.32943844795227
184,5.499780893325806
1549,5.325855493545532
1228,61.299325704574585
1098,25.891278982162476
1429,6.55368447303772
330,61.30968451499939
1076,22.979158639907837
645,17.661893844604492
1095,34.85203146934509
1031,61.48869848251343
1832,20.30262517929077
1109,5.0748374462127686
1629,61.62010645866394
584,6.055318832397461
713,38.19489550590515
102,39.01995635032654
569,61.32046365737915
1010,4.918625593185425
114,31.71815514564514
120,26.98074698448181
1890,1.6156282424926758
1818,28.329959869384766
1337,4.412108659744263
1068,61.457600831985474
656,61.65724849700928
744,5.408214330673218
1310,9.60115647315979
914,4.249668121337891
1266,7.983455419540405
1534,61.40755581855774
689,61.756991147994995
897,51.43143391609192
125,6.501028299331665
69,61.444859743118286
1780,61.43132138252258
88,6.7667317390441895
986,16.150541067123413
339,61.48327589035034
446,61.491373777389526
1360,61.4569354057312
1038,61.404733419418335
1205,9.640372037887573
1150,2.3438146114349365
1516,6.962765216827393
141,8.872238159179688
535,61.44658708572388
218,61.340365171432495
1545,61.774877071380615
583,61.455928802490234
1002,15.418996572494507
1162,61.385119676589966
1741,4.912936687469482
214,14.183014869689941
1117,5.956449747085571
1585,15.510401964187622
777,61.39098072052002
1571,21.504168033599854
1668,3.9027316570281982
748,61.408384561538696
489,11.554471254348755
1691,34.995222330093384
1735,10.538437604904175
1016,3.182558536529541
359,61.36989641189575
636,61.472339153289795
1383,1.8972811698913574
1648,4.889800548553467
1006,5.584635972976685
1465,61.460912227630615
778,61.385945320129395
418,2.256770133972168
754,23.586918354034424
1140,5.909704208374023
1120,8.01387333869934
978,61.41107177734375
1812,61.35222673416138
68,61.4155650138855
850,61.70625305175781
1509,61.362229108810425
289,10.3150794506073
1716,13.520281076431274
240,61.367576122283936
1104,28.555171966552734
932,5.098883152008057
618,61.355685234069824
304,61.45561099052429
801,10.77719521522522
210,26.077425956726074
785,61.689404249191284
1367,9.896015882492065
922,7.189263582229614
