,misc_price_min,misc_price_max,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
1706,215.0,420.0,4.610195688676618,2999.9999999999995,3.0,32.0,13.0,8.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1646,40.0,215.0,5.499999999999999,3930.0,1.5,63.999999999999986,16.0,8.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
46,40.0,215.0,6.26,4000.0000000000014,5.999999999999998,63.999999999999986,19.0,8.0,FHD,4G,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1595,215.0,420.0,5.990000000000001,3800.634050549679,3.0,8.000000000000002,13.0,5.0,FHD,4G,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
279,215.0,420.0,6.6499999999999995,5100.000000000004,5.999999999999998,16.0,19.0,12.0,FHD,5G,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1119,40.0,215.0,5.700000000000001,4000.0000000000014,2.0000000000000004,16.0,13.0,10.0,HD,4G,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1906,215.0,420.0,6.570000000000001,4160.000000000004,5.999999999999998,63.999999999999986,19.0,16.0,QHD,5G,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
414,420.0,1600.0,5.223895245693209,4552.63115121681,2.0000000000000004,16.0,14.0,2.0,FHD,4G,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1389,40.0,215.0,4.3,1899.9999999999993,1.5,8.000000000000002,10.0,2.0,qHD,4G,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1474,215.0,420.0,5.499999999999999,2500.0000000000005,0.9999999999999998,8.000000000000002,16.0,5.0,HD,3G,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1499,40.0,215.0,6.26,3259.9999999999986,3.0,32.0,16.0,16.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
35,40.0,215.0,6.21,3399.999999999999,1.5,127.99999999999997,13.0,8.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1186,40.0,215.0,6.2,4229.999999999998,3.999999999999999,63.999999999999986,13.0,16.0,HD,4G,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1587,40.0,215.0,5.990000000000001,2999.9999999999995,1.5,32.0,12.0,20.0,FHD,4G,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
55,215.0,420.0,6.390000000000001,3499.9999999999977,3.999999999999999,127.99999999999997,19.0,25.0,FHD,4G,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
607,40.0,215.0,5.499999999999999,3349.232809584329,0.9999999999999998,63.999999999999986,13.0,8.0,FHD,4G,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
532,420.0,1600.0,4.5,5073.43530494578,5.999999999999998,63.999999999999986,12.0,8.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1576,215.0,420.0,5.97,3069.9999999999995,5.999999999999998,8.000000000000002,19.0,20.0,FHD,4G,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1239,215.0,420.0,4.273328037137809,2409.999999999999,0.9999999999999998,16.0,13.0,5.0,HD,4G,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1675,215.0,420.0,5.499999999999999,3199.9999999999986,5.999999999999998,32.0,12.0,16.0,FHD,4G,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
902,215.0,420.0,5.200000000000001,2785.8166734013885,3.999999999999999,63.999999999999986,13.0,8.0,FHD,4G,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1427,215.0,420.0,5.999999999999999,3199.9999999999986,3.999999999999999,63.999999999999986,12.0,16.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
1608,40.0,215.0,5.319930483788898,4100.000000000004,3.0,32.0,13.0,5.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
411,40.0,215.0,4.700000000000001,2000.0,1.5,8.000000000000002,13.0,5.0,HD,4G,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
1277,215.0,420.0,5.0,2500.0000000000005,2.0000000000000004,16.0,16.0,2.0,HD,3G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1527,420.0,1600.0,6.430000000000001,3899.9999999999973,3.999999999999999,127.99999999999997,12.0,12.0,FHD,4G,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1684,215.0,420.0,4.206568575397489,2730.000000000001,2.0000000000000004,16.0,13.0,13.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1666,215.0,420.0,5.73,3100.0000000000005,5.999999999999998,8.000000000000002,12.0,5.0,FHD,4G,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1615,215.0,420.0,5.150000000000001,3199.9999999999986,3.0,63.999999999999986,12.0,5.0,FHD,4G,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
471,215.0,420.0,6.26,4000.0000000000014,3.999999999999999,63.999999999999986,12.0,8.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
