,misc_price_min,misc_price_max,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
194,40.0,215.0,6.529999999999999,3819.9999999999977,1.5,127.99999999999997,16.0,24.0,FHD,4G,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
508,40.0,215.0,5.499999999999999,2999.9999999999995,3.999999999999999,63.999999999999986,13.0,5.0,HD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1017,40.0,215.0,5.9,3199.9999999999986,3.0,16.0,13.0,3.0,FHD,4G,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
949,40.0,215.0,6.1000000000000005,2999.9999999999995,3.999999999999999,63.999999999999986,16.0,8.0,HD,4G,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1889,40.0,215.0,6.26,3749.9999999999977,0.9999999999999998,127.99999999999997,19.0,25.0,FHD,4G,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
738,40.0,215.0,5.824455382893926,2734.7765628917273,3.0,32.0,10.0,13.0,HD,4G,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1700,40.0,215.0,5.200000000000001,2200.0,3.0,63.999999999999986,13.0,6.0,FHD,5G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
271,40.0,215.0,6.09,4030.0000000000014,2.0000000000000004,63.999999999999986,19.0,10.0,FHD,4G,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1237,40.0,215.0,5.200000000000001,2000.0,2.0000000000000004,16.0,13.0,5.0,FHD,4G,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1271,40.0,215.0,5.499999999999999,2910.0000000000005,2.0000000000000004,32.0,13.0,8.0,FHD,4G,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1151,40.0,215.0,6.390000000000001,3499.9999999999977,3.0,127.99999999999997,16.0,16.0,FHD,4G,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
762,40.0,215.0,6.15,3340.0000000000023,5.999999999999998,3.9999999999999982,16.0,10.0,FHD,4G,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1723,40.0,215.0,5.499999999999999,2999.9999999999995,3.0,32.0,12.0,5.0,HD,4G,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1845,40.0,215.0,5.499999999999999,3199.9999999999986,1.5,63.999999999999986,13.0,16.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
821,40.0,215.0,5.999999999999999,4000.0000000000014,3.0,32.0,16.0,8.0,qHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
31,40.0,215.0,6.499999999999999,4000.0000000000014,2.0000000000000004,63.999999999999986,19.0,16.0,QHD,5G,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1145,40.0,215.0,5.200000000000001,3898.8921253224803,3.0,32.0,12.0,4.0,HD,5G,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
40,40.0,215.0,6.400000000000001,4200.000000000004,1.9999999770565084,127.99999999999997,18.0,16.0,FHD,4G,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1183,40.0,215.0,5.0273271462502,3214.1559037871316,3.0,16.0,13.0,5.0,HD,4G,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1900,40.0,215.0,6.440000000000001,4499.999999999999,0.9999999999999998,127.99999999999997,19.0,25.0,QHD,4G,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
