,time
868,14.487010955810547
771,8.847962856292725
1672,4.6130852699279785
1597,7.072012901306152
1030,4.461806297302246
877,23.325254678726196
599,22.100376844406128
1459,5.002075672149658
790,19.615150928497314
878,35.75532579421997
525,46.49083232879639
528,7.836213827133179
723,61.5357711315155
1371,5.203871250152588
14,61.50393748283386
935,61.653783082962036
1856,4.423127889633179
1544,15.988287687301636
707,20.478111505508423
1874,9.955511093139648
430,6.305953025817871
1015,61.57649827003479
626,5.681348562240601
816,13.830249786376953
1603,56.85437202453613
1843,9.279354095458984
1624,7.600585699081421
248,6.556524038314819
646,10.09803819656372
1618,4.715145111083984
1706,10.530629634857178
1646,23.048348426818848
46,7.665214776992798
1595,61.40207242965698
279,24.307104110717773
1119,17.391038179397583
1906,1.5329644680023193
414,61.388524770736694
1389,9.585360050201416
1474,2.1767289638519287
1499,14.242564916610718
35,40.341814279556274
1186,14.71116828918457
1587,61.39254832267761
55,4.663102388381958
607,61.68850612640381
532,16.909102201461792
1576,31.70880913734436
1239,6.5839948654174805
1675,7.277418851852417
902,3.9330339431762695
1427,7.4225687980651855
1608,4.917257785797119
411,12.81243109703064
1277,3.6728339195251465
1527,4.515256643295288
1684,61.44758749008179
1666,19.916639804840088
1615,4.247251272201538
471,10.040753841400146
1278,3.69551420211792
743,13.2498619556427
1619,7.857939720153809
1276,61.68424940109253
286,7.6843485832214355
598,4.847502708435059
1313,1.664886474609375
356,1.5196046829223633
1798,2.735123872756958
910,61.64069628715515
1126,9.35321855545044
1122,12.381608247756958
676,61.41900181770325
1345,34.9247031211853
1283,11.43674635887146
1238,61.9137282371521
1363,15.589914321899414
1623,13.536016702651978
1318,16.805076599121094
1518,3.179689645767212
383,18.895466089248657
1236,61.831663846969604
919,9.909569263458252
1022,11.98225450515747
200,39.692065954208374
701,1.5788054466247559
854,7.953823566436768
840,6.231616973876953
104,17.701023817062378
1071,5.268003225326538
838,51.62998723983765
1860,3.414138078689575
875,30.658249855041504
1135,11.7205650806427
94,19.6469509601593
1477,17.30244755744934
103,1.6381936073303223
1159,11.264497995376587
