,lr,batch,dropout,t0,tmult,weight_decay,max_acc_std,max_acc_mean,max_acc_0,max_acc_1,max_acc_2,max_acc_3,max_acc_4,epoch_max_acc_0,epoch_max_acc_1,epoch_max_acc_2,epoch_max_acc_3,epoch_max_acc_4
20,0.009000000000000001,1024.0,0.0,10.0,1.0,0.06000000000000001,0.022278309851935976,0.754422606612202,0.7445677271310464,0.71789270473481,0.7693275982749667,0.7572703388714914,0.7830546640486956,86.0,45.0,65.0,82.0,60.0
21,0.009000000000000001,512.0,0.3,5.0,2.0,0.06000000000000001,0.02396575940427045,0.7539122748725965,0.7634482564930596,0.7146977804872542,0.7670753460227143,0.7405664050549831,0.7837735863049714,62.0,51.0,19.0,55.0,7.0
22,0.004,1024.0,0.0,5.0,2.0,0.030000000000000006,0.02527729713175412,0.7546699198388784,0.7467477726472659,0.7194732326311274,0.7702702702702703,0.7432186765897405,0.793639647055988,82.0,93.0,58.0,83.0,79.0
23,0.003,512.0,0.0,20.0,1.0,0.04000000000000001,0.020910224621126565,0.7545506984827108,0.7504103411966908,0.720415904626431,0.7639142902300797,0.753222866826489,0.784790089533864,40.0,14.0,64.0,81.0,50.0
24,0.007,512.0,0.1,15.0,2.0,0.07,0.024235531660853765,0.7538822478218425,0.7533601937040654,0.717966086387139,0.7743401296032876,0.7384165911126191,0.7853282383021013,82.0,56.0,16.0,12.0,28.0
25,0.001,1024.0,0.1,20.0,3.0,0.05000000000000001,0.01928815939439685,0.7425768868640069,0.7393236472092425,0.7167468220099799,0.7371977240398294,0.7430805471040087,0.776535693956974,92.0,47.0,96.0,97.0,40.0
26,0.005,512.0,0.0,10.0,3.0,0.01,0.024640755767326616,0.7523026809767106,0.7440838352962951,0.7113730271625008,0.7681817155501367,0.7533253051363773,0.7845495217382435,18.0,25.0,51.0,75.0,61.0
27,0.003,2048.0,0.2,20.0,3.0,0.05000000000000001,0.019966784160931415,0.7491586114436108,0.7427003006022636,0.7191458375668902,0.7594831673779042,0.7448757668967588,0.7795879847742371,34.0,97.0,56.0,80.0,85.0
28,0.01,1024.0,0.0,15.0,1.0,0.04000000000000001,0.02577883961240637,0.7572404990413968,0.7428872274194936,0.7149687281266228,0.7830386777755199,0.7629294760906203,0.7823783857947267,82.0,5.0,90.0,98.0,20.0
29,0.009000000000000001,1024.0,0.2,20.0,1.0,0.06000000000000001,0.018750502603740584,0.7592264399229178,0.7559822336649673,0.7331843121316806,0.7682550972024657,0.749575414063992,0.7891351425514834,90.0,81.0,43.0,83.0,33.0
30,0.002,2048.0,0.3,20.0,3.0,0.020000000000000004,0.019185477429182585,0.744427104342479,0.7356610786598177,0.7178362573099415,0.7549786628733998,0.7389760618820095,0.7746834609872272,48.0,40.0,88.0,97.0,51.0
31,0.01,2048.0,0.3,15.0,1.0,0.1,0.020432501193231898,0.7509477077966079,0.746705875257197,0.7206529838108785,0.7610636952742217,0.7437781473591311,0.7825378372816117,95.0,99.0,33.0,32.0,50.0
32,0.006,2048.0,0.2,20.0,1.0,0.04000000000000001,0.023788668498418458,0.7475848645141604,0.7390377320528386,0.7118810539863172,0.7626442231705389,0.7418234760794958,0.7825378372816117,24.0,42.0,41.0,80.0,51.0
33,0.006,2048.0,0.0,15.0,2.0,0.030000000000000006,0.023725198765179492,0.7473830711549899,0.7375133116295646,0.7170572828467564,0.7564858091173882,0.738119010140002,0.7877399420412386,20.0,47.0,87.0,87.0,56.0
34,0.006,2048.0,0.0,15.0,3.0,0.08,0.02358747037148101,0.7494757487792367,0.7378563177350731,0.7128801734064892,0.7623337623337623,0.7510730528841251,0.7832354375367342,77.0,94.0,95.0,99.0,63.0
35,0.01,2048.0,0.2,10.0,3.0,0.04000000000000001,0.025134804216149727,0.7505893460058709,0.7426013122630898,0.7112093296303823,0.7725225225225225,0.7440757283317482,0.7825378372816117,53.0,49.0,40.0,50.0,54.0
36,0.001,2048.0,0.1,10.0,1.0,0.09000000000000001,0.027062970560590063,0.7239559990494122,0.7064484687424751,0.6935187066766014,0.7428085980717559,0.7097751177808803,0.7672291039753482,98.0,93.0,86.0,92.0,90.0
37,0.006,1024.0,0.3,10.0,2.0,0.08,0.01964459884359415,0.7565488834805865,0.7571636479827327,0.724412382307119,0.7682550972024657,0.7496778523738804,0.7832354375367342,94.0,44.0,43.0,26.0,37.0
38,0.004,512.0,0.3,15.0,3.0,0.06000000000000001,0.02374376128868919,0.7557885330787858,0.7419456871701443,0.7241414346677505,0.7743401296032876,0.7478256194041335,0.7906897945486132,31.0,93.0,21.0,31.0,60.0
39,0.005,1024.0,0.2,20.0,3.0,0.08,0.02104316799015903,0.7525107569905379,0.7468467609864394,0.7197103118155749,0.7579026394815869,0.7527658343669869,0.7853282383021013,26.0,94.0,43.0,43.0,81.0
