,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
240,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
1104,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1
932,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1
618,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1
304,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
801,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1
210,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1
785,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0
1367,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
922,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
161,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
973,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
686,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
861,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1
211,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
570,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1
1042,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
1718,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
268,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1079,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1
329,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1
1802,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
1572,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
1660,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1
1040,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
119,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1
615,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
1870,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1
987,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
1425,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
800,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
1686,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
588,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0
74,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
1023,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1
1428,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
338,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1
1394,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1
309,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1
501,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
87,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
1458,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0
1341,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0
767,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
1751,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
1745,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
542,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1
862,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1
1482,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1
1771,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
855,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
