misc_price,launch_announced,display_size,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,network_technology,battery,has_wireless_charging,is_waterproof,oem_model,display_width,display_height,memory_rom_gb,memory_ram_gb,main_camera_resolution,num_main_camera,selfie_camera_resolution,num_selfie_camera
745.0,2020.0,6.47,1,0,0,0,1,1,4G,4200.0,1,1,Huawei - P30 Pro New Edition,1080.0,2340.0,256.0,8.0,40,4.0,32,1.0
145.0,2020.0,6.3,0,1,0,1,0,1,4G,5000.0,0,0,Huawei - Y6p,720.0,1600.0,32.0,3.0,13,3.0,8,1.0
199.0,2020.0,6.21,0,1,0,1,1,1,4G,3400.0,0,0,Huawei - P smart 2020,1080.0,2340.0,128.0,4.0,13,2.0,8,1.0
602.6432796144024,2020.0,6.57,1,0,0,0,1,1,5G,4000.0,0,0,Huawei - nova 7 Pro 5G,1080.0,2340.0,128.0,8.0,64,4.0,32,2.0
495.36909101826797,2020.0,6.53,1,0,0,0,1,1,5G,4000.0,0,0,Huawei - nova 7 5G,1080.0,2400.0,128.0,8.0,64,4.0,32,1.0
1400.0,2020.0,6.58,1,0,0,0,1,1,5G,4200.0,1,1,Huawei - P40 Pro+,1200.0,2640.0,256.0,8.0,50,5.0,32,2.0
899.0,2020.0,6.58,1,0,0,0,1,1,5G,4200.0,1,1,Huawei - P40 Pro,1200.0,2640.0,128.0,8.0,50,4.0,32,2.0
744.99,2020.0,6.1,1,0,0,0,1,1,5G,3800.0,0,1,Huawei - P40,1080.0,2340.0,128.0,6.0,50,3.0,32,1.0
217.99,2020.0,6.4,0,0,0,1,1,1,4G,4200.0,0,0,Huawei - P40 lite,1080.0,2310.0,128.0,6.0,48,4.0,16,1.0
237.0,2020.0,6.15,0,1,0,1,1,1,4G,3340.0,0,0,Huawei - P30 lite New Edition,1080.0,2312.0,256.0,6.0,48,3.0,32,1.0
123.5,2020.0,6.09,0,1,0,1,0,1,4G,3020.0,0,0,Huawei - Y6s (2019),720.0,1560.0,32.0,3.0,13,1.0,8,1.0
290.0,2019.0,6.59,0,1,0,1,0,0,4G,4000.0,0,0,Huawei - P smart Pro 2019,1080.0,2340.0,128.0,6.0,48,2.0,16,1.0
392.4556417959601,2019.0,6.57,0,0,0,1,1,1,4G,4100.0,0,0,Huawei - nova 6,1080.0,2400.0,128.0,8.0,40,3.0,32,2.0
240.9744577976583,2019.0,6.59,0,1,0,1,0,0,4G,4000.0,0,0,Huawei - Y9s,1080.0,2340.0,128.0,6.0,48,3.0,16,1.0
200.0,2019.0,6.26,0,0,0,1,1,0,4G,4000.0,0,0,Huawei - nova 5z,1080.0,2340.0,64.0,6.0,48,4.0,32,1.0
200.0,2019.0,6.3,1,0,0,1,1,0,4G,4000.0,0,0,Huawei - Enjoy 10s,1080.0,2400.0,64.0,6.0,48,3.0,16,1.0
150.0,2019.0,6.39,0,1,0,1,0,0,4G,4000.0,0,0,Huawei - Enjoy 10,720.0,1560.0,64.0,4.0,48,2.0,8,1.0
1700.0,2019.0,6.53,1,0,1,0,1,1,5G,4500.0,1,1,Huawei - Mate 30 RS Porsche Design,1176.0,2400.0,512.0,12.0,40,4.0,32,2.0
942.9989877415692,2019.0,6.53,1,0,0,0,1,1,5G,4500.0,1,1,Huawei - Mate 30 Pro 5G,1176.0,2400.0,128.0,8.0,40,4.0,32,2.0
777.6833580798026,2019.0,6.53,1,0,0,0,1,1,4G,4500.0,1,1,Huawei - Mate 30 Pro,1176.0,2400.0,128.0,8.0,40,4.0,32,2.0
650.0,2019.0,6.62,1,0,1,1,1,1,5G,4200.0,1,1,Huawei - Mate 30 5G,1080.0,2340.0,128.0,6.0,40,3.0,24,2.0
550.0,2019.0,6.62,1,0,1,1,1,1,4G,4200.0,1,1,Huawei - Mate 30,1080.0,2340.0,128.0,6.0,40,3.0,24,2.0
290.0,2019.0,6.26,0,0,0,1,1,0,4G,4000.0,0,0,Huawei - nova 5i Pro,1080.0,2340.0,128.0,6.0,48,4.0,32,1.0
190.0,2019.0,6.59,0,1,0,1,1,0,4G,4000.0,0,0,Huawei - Enjoy 10 Plus,1080.0,2340.0,128.0,4.0,48,3.0,16,1.0
390.0,2019.0,6.39,1,0,0,0,1,1,4G,3500.0,0,0,Huawei - nova 5 Pro,1080.0,2340.0,128.0,8.0,48,4.0,32,1.0
360.0,2019.0,6.39,1,0,0,0,1,0,4G,3500.0,0,0,Huawei - nova 5,1080.0,2340.0,128.0,8.0,48,4.0,32,1.0
260.0,2019.0,6.4,0,1,0,1,1,0,4G,4000.0,0,0,Huawei - nova 5i,1080.0,2310.0,128.0,6.0,24,4.0,24,1.0
172.45634038640773,2019.0,6.59,0,1,0,1,1,0,4G,4000.0,0,0,Huawei - Y9 Prime (2019),1080.0,2340.0,64.0,4.0,16,3.0,16,1.0
280.0,2019.0,6.4,0,1,0,1,1,1,4G,4000.0,0,0,Huawei - P20 lite (2019),1080.0,2310.0,64.0,4.0,16,4.0,16,1.0
280.0,2019.0,6.59,0,1,0,1,1,1,4G,4000.0,0,0,Huawei - P Smart Z,1080.0,2340.0,64.0,4.0,16,2.0,16,1.0
710.0,2019.0,7.2,1,0,1,0,1,1,5G,4200.0,0,1,Huawei - Mate 20 X (5G),1080.0,2244.0,256.0,8.0,40,3.0,24,1.0
92.99,2019.0,5.71,0,1,0,1,0,1,4G,3020.0,0,0,Huawei - Y5 (2019),720.0,1520.0,16.0,2.0,13,1.0,5,1.0
100.0,2020.0,6.82,0,1,0,1,1,0,4G,6000.0,0,0,Infinix - Hot 9 Play,720.0,1640.0,32.0,2.0,13,2.0,8,1.0
110.0,2020.0,6.6,0,1,0,1,1,0,4G,5000.0,0,0,Infinix - Hot 9 Pro,720.0,1600.0,64.0,4.0,48,4.0,8,1.0
90.0,2020.0,6.6,0,1,0,1,1,0,4G,5000.0,0,0,Infinix - Hot 9,720.0,1600.0,32.0,2.0,13,4.0,8,1.0
100.0,2019.0,6.6,0,1,0,1,1,0,4G,4000.0,0,0,Infinix - S5 lite,720.0,1600.0,32.0,3.0,16,3.0,16,1.0
177.26219194929286,2019.0,6.52,0,1,0,1,1,0,4G,5000.0,0,0,Infinix - Hot 8,720.0,1600.0,32.0,2.0,13,3.0,8,1.0
77.46658571480762,2019.0,6.21,0,1,0,1,1,0,4G,3500.0,0,0,Infinix - Smart3 Plus,720.0,1520.0,32.0,2.0,13,3.0,8,1.0
130.0,2019.0,6.2,0,1,0,1,0,0,4G,4000.0,0,0,Infinix - Hot 7 Pro,720.0,1520.0,32.0,2.0,13,2.0,13,2.0
80.0,2020.0,5.71,0,1,0,1,0,0,4G,3200.0,0,0,Lava - Z71,720.0,1520.0,32.0,2.0,13,2.0,5,1.0
169.6981727324624,2019.0,6.3,0,1,0,1,1,0,4G,4050.0,0,0,Lenovo - K10 Note,1080.0,2340.0,64.0,4.0,16,3.0,16,1.0
100.0,2019.0,6.09,0,1,0,1,0,0,4G,4000.0,0,0,Lenovo - A6 Note,720.0,1560.0,16.0,2.0,13,2.0,5,1.0
100.0,2019.0,7.0,0,1,0,1,0,0,4G,3590.0,0,0,Lenovo - Tab M7,600.0,1024.0,8.0,1.0,2,1.0,2,1.0
250.0,2019.0,6.39,1,1,0,1,1,0,4G,4000.0,0,0,Lenovo - Z6,1080.0,2340.0,64.0,6.0,24,3.0,16,1.0
400.0,2019.0,6.39,1,1,0,1,1,1,5G,4000.0,0,0,Lenovo - Z6 Pro 5G,1080.0,2340.0,128.0,6.0,48,4.0,32,1.0
160.0,2019.0,6.3,0,1,0,1,1,1,4G,4050.0,0,0,Lenovo - Z6 Youth,1080.0,2340.0,64.0,4.0,16,3.0,16,1.0
526.08,2019.0,6.39,1,1,0,1,1,0,4G,4000.0,0,0,Lenovo - Z6 Pro,1080.0,2340.0,128.0,6.0,48,4.0,32,1.0
200.0,2020.0,6.8,0,1,0,1,0,0,4G,4000.0,0,0,LG - Stylo 6,1080.0,2460.0,64.0,3.0,13,4.0,13,1.0
839.4205257647527,2020.0,6.8,1,1,1,1,1,1,5G,4300.0,1,1,LG - Velvet,1080.0,2460.0,128.0,6.0,48,3.0,16,1.0
240.0,2020.0,6.5,0,1,1,1,1,1,4G,4000.0,0,0,LG - Q51,720.0,1520.0,32.0,3.0,13,3.0,13,1.0
130.0,2020.0,5.71,0,1,0,1,0,0,4G,3450.0,0,0,LG - W10 Alpha,720.0,1512.0,32.0,3.0,8,1.0,8,1.0
190.09,2020.0,6.55,0,1,0,1,1,1,4G,4000.0,0,0,LG - K51S,720.0,1600.0,64.0,3.0,32,4.0,13,1.0
145.0,2020.0,6.55,0,1,0,1,0,1,4G,4000.0,0,0,LG - K41S,720.0,1600.0,32.0,3.0,13,4.0,8,1.0
1100.0,2019.0,6.4,1,1,1,1,1,1,5G,4000.0,1,1,LG - V50S ThinQ 5G,1080.0,2340.0,256.0,8.0,12,2.0,32,1.0
578.0,2019.0,6.4,1,1,1,1,1,1,4G,4000.0,1,1,LG - G8X ThinQ,1080.0,2340.0,128.0,6.0,12,2.0,32,1.0
320.0,2019.0,6.4,0,1,0,1,1,1,4G,4000.0,0,1,LG - Q70,1080.0,2310.0,64.0,4.0,32,2.0,16,1.0
140.0,2019.0,5.45,0,1,0,1,0,1,4G,3000.0,0,0,LG - K30 (2019),720.0,1440.0,16.0,2.0,8,1.0,5,1.0
160.0,2019.0,6.1,0,1,0,1,1,1,4G,3500.0,0,0,LG - K40S,720.0,1520.0,32.0,2.0,13,2.0,13,1.0
