misc_price,launch_announced,display_size,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,network_technology,battery,has_wireless_charging,is_waterproof,display_width,display_height,memory_rom_gb,memory_ram_gb,main_camera_resolution,num_main_camera,selfie_camera_resolution,num_selfie_camera
2,2020.0,6.53,0,1,0,1,1,0,4G,4000.0,0,0,1080.0,2340.0,64.0,4.0,13.0,4.0,16.0,1.0
2,2020.0,6.53,0,1,0,1,1,1,4G,4000.0,0,0,1080.0,2340.0,64.0,6.0,48.0,4.0,16.0,1.0
2,2020.0,6.1,1,1,0,1,1,1,4G,3500.0,0,0,1080.0,2400.0,64.0,4.0,48.0,3.0,25.0,1.0
2,2020.0,6.15,0,1,0,1,1,1,4G,3340.0,0,0,1080.0,2312.0,256.0,6.0,48.0,3.0,32.0,1.0
2,2020.0,6.53,0,1,0,1,1,1,4G,4000.0,0,0,1080.0,2340.0,64.0,4.0,48.0,4.0,16.0,1.0
2,2020.0,6.3,1,0,0,1,1,1,4G,4000.0,0,0,1080.0,2400.0,128.0,4.0,48.0,3.0,16.0,1.0
2,2020.0,6.5,0,1,1,1,1,1,4G,4000.0,0,0,720.0,1520.0,32.0,3.0,13.0,3.0,13.0,1.0
2,2020.0,6.67,0,1,0,1,1,1,4G,5020.0,0,0,1080.0,2400.0,64.0,6.0,64.0,4.0,16.0,1.0
2,2020.0,6.81,0,1,0,1,1,0,5G,4300.0,0,0,1080.0,2400.0,128.0,8.0,64.0,4.0,16.0,1.0
2,2020.0,6.5,0,0,0,1,1,0,5G,4000.0,0,0,1080.0,2400.0,128.0,6.0,48.0,3.0,16.0,1.0
2,2020.0,6.67,0,0,0,1,1,1,5G,4800.0,0,0,1080.0,2400.0,128.0,6.0,48.0,4.0,20.0,2.0
2,2020.0,6.4,1,1,0,1,1,1,4G,5000.0,0,0,1080.0,2400.0,64.0,4.0,48.0,4.0,20.0,1.0
2,2020.0,6.67,0,0,0,1,1,1,5G,4500.0,0,0,1080.0,2400.0,128.0,6.0,64.0,4.0,20.0,2.0
2,2020.0,6.57,0,0,0,0,1,1,5G,4200.0,0,0,1080.0,2400.0,64.0,6.0,64.0,4.0,16.0,2.0
2,2020.0,6.44,1,1,0,1,1,0,4G,4500.0,0,0,1080.0,2400.0,128.0,8.0,48.0,4.0,32.0,1.0
2,2020.0,6.53,0,1,0,1,1,0,4G,5000.0,0,0,1080.0,2400.0,128.0,8.0,13.0,4.0,16.0,1.0
2,2020.0,6.4,0,1,1,1,1,0,4G,5000.0,0,1,1080.0,2300.0,64.0,4.0,16.0,3.0,16.0,1.0
2,2020.0,6.4,1,1,0,1,1,1,4G,6000.0,0,0,1080.0,2340.0,64.0,6.0,64.0,3.0,32.0,1.0
2,2020.0,6.57,0,0,0,1,1,1,5G,4000.0,0,0,1080.0,2400.0,128.0,6.0,48.0,4.0,16.0,2.0
2,2020.0,6.57,1,1,0,1,1,1,5G,4520.0,0,1,1080.0,2400.0,128.0,8.0,48.0,4.0,20.0,1.0
2,2020.0,6.6,0,1,0,1,1,1,4G,4300.0,0,0,1080.0,2400.0,64.0,6.0,64.0,4.0,16.0,2.0
2,2020.0,6.3,0,1,0,0,1,1,4G,5500.0,1,1,1080.0,2340.0,128.0,4.0,48.0,3.0,16.0,1.0
2,2020.0,6.5,0,1,0,1,1,0,4G,5000.0,0,1,1080.0,2340.0,128.0,6.0,64.0,4.0,16.0,1.0
2,2020.0,6.38,1,1,0,1,1,1,4G,4500.0,0,0,1080.0,2340.0,128.0,8.0,48.0,4.0,16.0,1.0
2,2020.0,5.5,0,1,0,1,0,1,4G,4200.0,0,1,720.0,1440.0,32.0,3.0,13.0,1.0,5.0,1.0
2,2020.0,6.57,0,0,0,0,1,1,5G,4200.0,0,0,1080.0,2400.0,128.0,6.0,48.0,4.0,16.0,2.0
2,2020.0,6.4,0,0,0,1,1,0,4G,4200.0,0,0,1080.0,2310.0,128.0,8.0,48.0,4.0,16.0,1.0
2,2020.0,6.44,1,1,0,1,1,0,4G,4500.0,0,0,1080.0,2400.0,128.0,8.0,48.0,4.0,32.0,2.0
2,2020.0,6.65,1,0,0,0,1,1,5G,5100.0,0,0,1080.0,2340.0,128.0,6.0,48.0,4.0,12.0,1.0
3,2020.0,6.53,0,0,1,1,1,0,5G,4500.0,0,0,1080.0,2340.0,128.0,8.0,48.0,3.0,16.0,1.0
3,2020.0,6.5,0,0,0,1,1,0,5G,4000.0,0,0,1080.0,2400.0,128.0,8.0,64.0,4.0,16.0,1.0
3,2020.0,6.4,1,1,0,1,1,0,4G,4025.0,0,0,1080.0,2400.0,128.0,8.0,64.0,4.0,44.0,2.0
3,2020.0,6.57,0,1,0,1,1,0,5G,5000.0,0,0,1080.0,2400.0,128.0,6.0,48.0,4.0,16.0,1.0
3,2020.0,6.4,1,1,0,1,1,0,4G,4025.0,0,0,1080.0,2400.0,128.0,8.0,48.0,4.0,44.0,1.0
3,2020.0,6.57,1,0,0,1,1,1,5G,4160.0,0,0,1080.0,2400.0,64.0,6.0,48.0,4.0,16.0,1.0
3,2020.0,6.4,0,1,1,1,1,1,4G,4000.0,0,1,1080.0,2300.0,128.0,4.0,48.0,3.0,16.0,1.0
3,2020.0,6.63,0,0,0,1,1,0,5G,4300.0,0,0,1080.0,2400.0,64.0,6.0,40.0,3.0,16.0,1.0
